Key,English,German,Turkish,Italian,French,Polish,Norwegian,Portuguese,Portuguese (Brazil),Castilian Spanish,Spanish (Latin America),Russian,Arabic,Japanese,Korean,Chinese (Simplified),Chinese (Traditional)
Card.Card_Shape_J.Desc,"J tiles score +5, but J appears 7% less often.","J-Steine geben +5 Punkte, aber J erscheint 7% seltener.","J blokları +5 puan verir, ama J %7 daha az çıkar.","I blocchi J danno +5 punti, ma J appare il 7% in meno.","Les cases J donnent +5 points, mais J apparaît 7% moins souvent.","Bloki J dają +5 punktów, ale J pojawia się o 7% rzadziej.","J-brikker gir +5 poeng, men J dukker opp 7% sjeldnere.","Os blocos J dão +5 pontos, mas J aparece 7% menos.","Os blocos J dão +5 pontos, mas J aparece 7% menos.","Los bloques J dan +5 puntos, pero J aparece un 7% menos.","Los bloques J dan +5 puntos, pero J aparece un 7% menos.","Блоки J дают +5 очков, но J выпадает на 7% реже.",,J のブロックは +5 点、ただし J の出現率が 7% 下がります。,"J 블록은 +5점, 단 J의 출현 확률이 7% 낮아집니다.",J 方块 +5 分，但 J 的出现率降低 7%。,J 方塊 +5 分，但 J 的出現率降低 7%。
Card.Card_Shape_L.Name,L,L,L,L,L,L,L,L,L,L,L,L,,L,L,L,L
Card.Card_Shape_L.Desc,"L tiles score +5, but L appears 10% less often.","L-Steine geben +5 Punkte, aber L erscheint 10% seltener.","L blokları +5 puan verir, ama L %10 daha az çıkar.","I blocchi L danno +5 punti, ma L appare il 10% in meno.","Les cases L donnent +5 points, mais L apparaît 10% moins souvent.","Bloki L dają +5 punktów, ale L pojawia się o 10% rzadziej.","L-brikker gir +5 poeng, men L dukker opp 10% sjeldnere.","Os blocos L dão +5 pontos, mas L aparece 10% menos.","Os blocos L dão +5 pontos, mas L aparece 10% menos.","Los bloques L dan +5 puntos, pero L aparece un 10% menos.","Los bloques L dan +5 puntos, pero L aparece un 10% menos.","Блоки L дают +5 очков, но L выпадает на 10% реже.",,L のブロックは +5 点、ただし L の出現率が 10% 下がります。,"L 블록은 +5점, 단 L의 출현 확률이 10% 낮아집니다.",L 方块 +5 分，但 L 的出现率降低 10%。,L 方塊 +5 分，但 L 的出現率降低 10%。
Card.Card_Shape_LongL.Name,Long L,Langes L,Uzun L,L lunga,L long,Długie L,Lang L,L longo,L longo,L larga,L larga,Длинная L,,ロングL,긴 L,长L,長L
Card.Card_Shape_LongL.Desc,"Long L tiles score +3, but Long L appears 12% less often.","Langes L-Steine geben +3 Punkte, aber Langes L erscheint 12% seltener.","Uzun L blokları +3 puan verir, ama Uzun L %12 daha az çıkar.","I blocchi L lunga danno +3 punti, ma L lunga appare il 12% in meno.","Les cases L long donnent +3 points, mais L long apparaît 12% moins souvent.","Bloki Długie L dają +3 punktów, ale Długie L pojawia się o 12% rzadziej.","Lang L-brikker gir +3 poeng, men Lang L dukker opp 12% sjeldnere.","Os blocos L longo dão +3 pontos, mas L longo aparece 12% menos.","Os blocos L longo dão +3 pontos, mas L longo aparece 12% menos.","Los bloques L larga dan +3 puntos, pero L larga aparece un 12% menos.","Los bloques L larga dan +3 puntos, pero L larga aparece un 12% menos.","Блоки Длинная L дают +3 очков, но Длинная L выпадает на 12% реже.",,ロングL のブロックは +3 点、ただし ロングL の出現率が 12% 下がります。,"긴 L 블록은 +3점, 단 긴 L의 출현 확률이 12% 낮아집니다.",长L 方块 +3 分，但 长L 的出现率降低 12%。,長L 方塊 +3 分，但 長L 的出現率降低 12%。
Card.Card_Shape_O.Name,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,O
Card.Card_Shape_O.Desc,"O tiles score +2, but O appears 5% less often.","O-Steine geben +2 Punkte, aber O erscheint 5% seltener.","O blokları +2 puan verir, ama O %5 daha az çıkar.","I blocchi O danno +2 punti, ma O appare il 5% in meno.","Les cases O donnent +2 points, mais O apparaît 5% moins souvent.","Bloki O dają +2 punktów, ale O pojawia się o 5% rzadziej.","O-brikker gir +2 poeng, men O dukker opp 5% sjeldnere.","Os blocos O dão +2 pontos, mas O aparece 5% menos.","Os blocos O dão +2 pontos, mas O aparece 5% menos.","Los bloques O dan +2 puntos, pero O aparece un 5% menos.","Los bloques O dan +2 puntos, pero O aparece un 5% menos.","Блоки O дают +2 очков, но O выпадает на 5% реже.",,O のブロックは +2 点、ただし O の出現率が 5% 下がります。,"O 블록은 +2점, 단 O의 출현 확률이 5% 낮아집니다.",O 方块 +2 分，但 O 的出现率降低 5%。,O 方塊 +2 分，但 O 的出現率降低 5%。
Card.Card_Shape_S.Name,S,S,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
Card.Card_Shape_S.Desc,"S tiles score +2, but S appears 5% less often.","S-Steine geben +2 Punkte, aber S erscheint 5% seltener.","S blokları +2 puan verir, ama S %5 daha az çıkar.","I blocchi S danno +2 punti, ma S appare il 5% in meno.","Les cases S donnent +2 points, mais S apparaît 5% moins souvent.","Bloki S dają +2 punktów, ale S pojawia się o 5% rzadziej.","S-brikker gir +2 poeng, men S dukker opp 5% sjeldnere.","Os blocos S dão +2 pontos, mas S aparece 5% menos.","Os blocos S dão +2 pontos, mas S aparece 5% menos.","Los bloques S dan +2 puntos, pero S aparece un 5% menos.","Los bloques S dan +2 puntos, pero S aparece un 5% menos.","Блоки S дают +2 очков, но S выпадает на 5% реже.",,S のブロックは +2 点、ただし S の出現率が 5% 下がります。,"S 블록은 +2점, 단 S의 출현 확률이 5% 낮아집니다.",S 方块 +2 分，但 S 的出现率降低 5%。,S 方塊 +2 分，但 S 的出現率降低 5%。
Card.Card_Shape_T.Name,T,T,T,T,T,T,T,T,T,T,T,T,,T,T,T,T
Card.Card_Shape_T.Desc,"T tiles score +3, but T appears 5% less often.","T-Steine geben +3 Punkte, aber T erscheint 5% seltener.","T blokları +3 puan verir, ama T %5 daha az çıkar.","I blocchi T danno +3 punti, ma T appare il 5% in meno.","Les cases T donnent +3 points, mais T apparaît 5% moins souvent.","Bloki T dają +3 punktów, ale T pojawia się o 5% rzadziej.","T-brikker gir +3 poeng, men T dukker opp 5% sjeldnere.","Os blocos T dão +3 pontos, mas T aparece 5% menos.","Os blocos T dão +3 pontos, mas T aparece 5% menos.","Los bloques T dan +3 puntos, pero T aparece un 5% menos.","Los bloques T dan +3 puntos, pero T aparece un 5% menos.","Блоки T дают +3 очков, но T выпадает на 5% реже.",,T のブロックは +3 点、ただし T の出現率が 5% 下がります。,"T 블록은 +3점, 단 T의 출현 확률이 5% 낮아집니다.",T 方块 +3 分，但 T 的出现率降低 5%。,T 方塊 +3 分，但 T 的出現率降低 5%。
Card.Card_Shape_Z.Name,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,,Z,Z,Z,Z
Card.Card_Shape_Z.Desc,"Z tiles score +3, but Z appears 8% less often.","Z-Steine geben +3 Punkte, aber Z erscheint 8% seltener.","Z blokları +3 puan verir, ama Z %8 daha az çıkar.","I blocchi Z danno +3 punti, ma Z appare il 8% in meno.","Les cases Z donnent +3 points, mais Z apparaît 8% moins souvent.","Bloki Z dają +3 punktów, ale Z pojawia się o 8% rzadziej.","Z-brikker gir +3 poeng, men Z dukker opp 8% sjeldnere.","Os blocos Z dão +3 pontos, mas Z aparece 8% menos.","Os blocos Z dão +3 pontos, mas Z aparece 8% menos.","Los bloques Z dan +3 puntos, pero Z aparece un 8% menos.","Los bloques Z dan +3 puntos, pero Z aparece un 8% menos.","Блоки Z дают +3 очков, но Z выпадает на 8% реже.",,Z のブロックは +3 点、ただし Z の出現率が 8% 下がります。,"Z 블록은 +3점, 단 Z의 출현 확률이 8% 낮아집니다.",Z 方块 +3 分，但 Z 的出现率降低 8%。,Z 方塊 +3 分，但 Z 的出現率降低 8%。
Pause.Title,PAUSED,PAUSIERT,DURAKLATILDI,IN PAUSA,EN PAUSE,PAUZA,PAUSE,EM PAUSA,EM PAUSA,EN PAUSA,EN PAUSA,ПАУЗА,,一時停止,일시정지,已暂停,已暫停
Pause.Resume,RESUME,FORTSETZEN,DEVAM ET,RIPRENDI,REPRENDRE,WZNÓW,FORTSETT,CONTINUAR,CONTINUAR,CONTINUAR,CONTINUAR,ПРОДОЛЖИТЬ,,再開,계속하기,继续,繼續
Pause.Settings,SETTINGS,EINSTELLUNGEN,AYARLAR,IMPOSTAZIONI,PARAMÈTRES,USTAWIENIA,INNSTILLINGER,DEFINIÇÕES,CONFIGURAÇÕES,AJUSTES,CONFIGURACIÓN,НАСТРОЙКИ,,設定,설정,设置,設置
Pause.MainMenu,MAIN MENU,HAUPTMENÜ,ANA MENÜ,MENU PRINCIPALE,MENU PRINCIPAL,MENU GŁÓWNE,HOVEDMENY,MENU PRINCIPAL,MENU PRINCIPAL,MENÚ PRINCIPAL,MENÚ PRINCIPAL,ГЛАВНОЕ МЕНЮ,,メインメニュー,메인 메뉴,主菜单,主菜單
Pause.Quit,QUIT TO DESKTOP,SPIEL BEENDEN,OYUNDAN ÇIK,ESCI DAL GIOCO,QUITTER LE JEU,WYJDŹ Z GRY,AVSLUTT SPILLET,SAIR DO JOGO,SAIR DO JOGO,SALIR DEL JUEGO,SALIR DEL JUEGO,ВЫЙТИ ИЗ ИГРЫ,,ゲームを終了,게임 종료,退出游戏,退出遊戲
GameOver.Reason.NoMoves,NO MOVES LEFT,KEINE ZÜGE MEHR,HAMLE KALMADI,NESSUNA MOSSA,PLUS AUCUN COUP,BRAK RUCHÓW,INGEN TREKK IGJEN,SEM JOGADAS,SEM JOGADAS,SIN MOVIMIENTOS,SIN MOVIMIENTOS,НЕТ ХОДОВ,,手がありません,이동 불가,无路可走,無路可走
GameOver.Reason.PoolExhausted,POOL EXHAUSTED,VORRAT ERSCHÖPFT,HAVUZ TÜKENDİ,FORME ESAURITE,RÉSERVE ÉPUISÉE,KONIEC KSZTAŁTÓW,TOM FOR BRIKKER,FORMAS ESGOTADAS,FORMAS ESGOTADAS,SIN FIGURAS,SIN PIEZAS,ФИГУРЫ ЗАКОНЧИЛИСЬ,,ブロック切れ,블록 소진,方块耗尽,方塊耗盡
GameOver.Reason.CannotPlace,SHAPE CANNOT BE PLACED,FORM PASST NICHT,ŞEKİL YERLEŞTİRİLEMİYOR,FORMA NON PIAZZABILE,FORME IMPLAÇABLE,NIE MOŻNA UŁOŻYĆ,BRIKKEN PASSER IKKE,FORMA NÃO CABE,FORMA NÃO CABE,NO CABE LA FIGURA,NO CABE LA FIGURA,ФИГУРУ НЕ ПОСТАВИТЬ,,配置できません,배치할 수 없음,无法放置,無法放置
GameOver.Reason.Default,GAME OVER,SPIEL VORBEI,OYUN BİTTİ,GAME OVER,PARTIE TERMINÉE,KONIEC GRY,SPILLET ER OVER,FIM DE JOGO,FIM DE JOGO,FIN DE LA PARTIDA,FIN DE LA PARTIDA,ИГРА ОКОНЧЕНА,,ゲームオーバー,게임 오버,游戏结束,遊戲結束
Card.Card_Safe_Zone.Broken,SAFE ZONE BROKEN  -{0} SHAPES,SICHERE ZONE ZERSTÖRT  -{0} FORMEN,GÜVENLİ BÖLGE KIRILDI  -{0} ŞEKİL,ZONA SICURA DISTRUTTA  -{0} FORME,ZONE SÛRE BRISÉE  -{0} FORMES,STREFA BEZPIECZNA ZNISZCZONA  -{0} KSZTAŁTÓW,TRYGG SONE ØDELAGT  -{0} BRIKKER,ZONA SEGURA QUEBRADA  -{0} FORMAS,ZONA SEGURA QUEBRADA  -{0} FORMAS,ZONA SEGURA ROTA  -{0} FIGURAS,ZONA SEGURA ROTA  -{0} PIEZAS,БЕЗОПАСНАЯ ЗОНА РАЗРУШЕНА  -{0} ФИГУР,,セーフゾーン破壊  -{0} ブロック,안전지대 파괴  -{0} 블록,安全区被破坏  -{0} 方块,安全區被破壞  -{0} 方塊
Toast.NotEnoughCoins,NOT ENOUGH BLOCKCOINS,NICHT GENUG BLOCKCOINS,YETERLİ BLOCKCOIN YOK,BLOCKCOIN INSUFFICIENTI,PAS ASSEZ DE BLOCKCOINS,ZA MAŁO BLOCKCOINÓW,IKKE NOK BLOCKCOINS,BLOCKCOINS INSUFICIENTES,BLOCKCOINS INSUFICIENTES,NO HAY SUFICIENTES BLOCKCOINS,NO HAY SUFICIENTES BLOCKCOINS,НЕДОСТАТОЧНО BLOCKCOIN,,BLOCKCOINが足りません,BLOCKCOIN이 부족합니다,BLOCKCOIN 不足,BLOCKCOIN 不足
Toast.ScoreUpgraded,{0} base score upgraded!,{0} Grundpunkte verbessert!,{0} baz puanı yükseltildi!,Punteggio base di {0} migliorato!,Score de base de {0} amélioré !,Punkty bazowe {0} ulepszone!,{0} grunnpoeng oppgradert!,Pontuação base de {0} melhorada!,Pontuação base de {0} melhorada!,¡Puntuación base de {0} mejorada!,¡Puntaje base de {0} mejorado!,Базовые очки {0} улучшены!,,{0} の基本ポイントを強化しました！,{0}의 기본 점수를 올렸습니다!,{0} 的基础分数已提升！,{0} 的基礎分數已提升！
Toast.WeightIncreased,{0} appears more often now!,{0} erscheint jetzt häufiger!,{0} artık daha sık çıkacak!,{0} apparirà più spesso!,{0} apparaît plus souvent !,{0} będzie pojawiać się częściej!,{0} dukker opp oftere nå!,{0} aparecerá com mais frequência!,{0} aparecerá com mais frequência!,¡{0} aparecerá más a menudo!,¡{0} aparecerá más a menudo!,{0} теперь выпадает чаще!,,{0} の出現率が上がりました！,{0}의 출현 확률이 올랐습니다!,{0} 的出现率提高了！,{0} 的出現率提高了！
Toast.WeightDecreased,{0} appears less often now.,{0} erscheint jetzt seltener.,{0} artık daha az çıkacak.,{0} apparirà meno spesso.,{0} apparaît moins souvent.,{0} będzie pojawiać się rzadziej.,{0} dukker opp sjeldnere nå.,{0} aparecerá com menos frequência.,{0} aparecerá com menos frequência.,{0} aparecerá menos a menudo.,{0} aparecerá menos a menudo.,{0} теперь выпадает реже.,,{0} の出現率が下がりました。,{0}의 출현 확률이 내려갔습니다.,{0} 的出现率降低了。,{0} 的出現率降低了。
Toast.ShapeUnlocked,{0} UNLOCKED!,{0} FREIGESCHALTET!,{0} AÇILDI!,{0} SBLOCCATO!,{0} DÉBLOQUÉ !,{0} ODBLOKOWANE!,{0} LÅST OPP!,{0} DESBLOQUEADO!,{0} DESBLOQUEADO!,¡{0} DESBLOQUEADO!,¡{0} DESBLOQUEADO!,{0} РАЗБЛОКИРОВАНО!,,{0} をアンロック！,{0} 잠금 해제!,已解锁 {0}！,已解鎖 {0}！
Toast.UpgradeBought,{0} upgraded!,{0} verbessert!,{0} yükseltildi!,{0} migliorato!,{0} amélioré !,{0} ulepszone!,{0} oppgradert!,{0} melhorado!,{0} melhorado!,¡{0} mejorado!,¡{0} mejorado!,{0} улучшено!,,{0} を強化しました！,{0} 업그레이드 완료!,{0} 已升级！,{0} 已升級！
Toast.UpgradeSold,{0} refunded.,{0} zurückerstattet.,{0} iade edildi.,{0} rimborsato.,{0} remboursé.,{0} zwrócone.,{0} refundert.,{0} reembolsado.,{0} reembolsado.,{0} reembolsado.,{0} reembolsado.,{0} возвращено.,,{0} を返品しました。,{0}을(를) 환불했습니다.,已退还 {0}。,已退還 {0}。
Toast.SellFailed,COULD NOT REFUND,RÜCKERSTATTUNG FEHLGESCHLAGEN,İADE EDİLEMEDİ,RIMBORSO NON RIUSCITO,REMBOURSEMENT IMPOSSIBLE,NIE MOŻNA ZWRÓCIĆ,KUNNE IKKE REFUNDERE,NÃO FOI POSSÍVEL REEMBOLSAR,NÃO FOI POSSÍVEL REEMBOLSAR,NO SE PUDO REEMBOLSAR,NO SE PUDO REEMBOLSAR,НЕ УДАЛОСЬ ВЕРНУТЬ,,返品できません,환불할 수 없습니다,无法退还,無法退還
Popup.DoubleStrike,DOUBLE STRIKE  x{0},DOPPELSCHLAG  x{0},ÇİFTE DARBE  x{0},DOPPIO COLPO  x{0},DOUBLE FRAPPE  x{0},PODWÓJNE UDERZENIE  x{0},DOBBELTSLAG  x{0},GOLPE DUPLO  x{0},GOLPE DUPLO  x{0},DOBLE GOLPE  x{0},DOBLE GOLPE  x{0},ДВОЙНОЙ УДАР  x{0},,ダブルストライク  x{0},더블 스트라이크  x{0},双重打击  x{0},雙重打擊  x{0}
Popup.GambleWon,GAMBLE WON  x{0},WETTE GEWONNEN  x{0},KUMAR TUTTU  x{0},SCOMMESSA VINTA  x{0},PARI GAGNÉ  x{0},ZAKŁAD WYGRANY  x{0},VEDDEMÅL VUNNET  x{0},APOSTA GANHA  x{0},APOSTA GANHA  x{0},APUESTA GANADA  x{0},APUESTA GANADA  x{0},СТАВКА ВЫИГРАЛА  x{0},,ギャンブル成功  x{0},도박 성공  x{0},赌赢了  x{0},賭贏了  x{0}
Popup.GambleLost,GAMBLE LOST  x{0},WETTE VERLOREN  x{0},KUMAR TUTMADI  x{0},SCOMMESSA PERSA  x{0},PARI PERDU  x{0},ZAKŁAD PRZEGRANY  x{0},VEDDEMÅL TAPT  x{0},APOSTA PERDIDA  x{0},APOSTA PERDIDA  x{0},APUESTA PERDIDA  x{0},APUESTA PERDIDA  x{0},СТАВКА ПРОИГРАЛА  x{0},,ギャンブル失敗  x{0},도박 실패  x{0},赌输了  x{0},賭輸了  x{0}
Popup.Patience,PATIENCE  x{0},GEDULD  x{0},SABIR  x{0},PAZIENZA  x{0},PATIENCE  x{0},CIERPLIWOŚĆ  x{0},TÅLMODIGHET  x{0},PACIÊNCIA  x{0},PACIÊNCIA  x{0},PACIENCIA  x{0},PACIENCIA  x{0},ТЕРПЕНИЕ  x{0},,忍耐  x{0},인내  x{0},耐心  x{0},耐心  x{0}
GameOver.Explain.NoMoves,None of your shapes fit on the board anymore.,Keine deiner Formen passt mehr auf das Feld.,Elindeki şekillerin hiçbiri tahtaya sığmıyor.,Nessuna delle tue forme entra più nel tabellone.,Aucune de vos formes ne rentre plus sur le plateau.,Żaden z twoich kształtów już się nie mieści.,Ingen av brikkene dine passer på brettet lenger.,Nenhuma das suas formas cabe mais no tabuleiro.,Nenhuma das suas formas cabe mais no tabuleiro.,Ninguna de tus figuras cabe ya en el tablero.,Ninguna de tus piezas cabe ya en el tablero.,Ни одна из ваших фигур больше не помещается на поле.,,どのブロックも盤面に置けません。,어떤 블록도 판에 놓을 수 없습니다.,没有任何方块能放进棋盘了。,沒有任何方塊能放進棋盤了。
GameOver.Explain.PoolExhausted,You ran out of shapes before reaching the milestone.,"Dir gingen die Formen aus, bevor du das Ziel erreicht hast.",Hedefe ulaşmadan şekillerin tükendi.,Hai finito le forme prima di raggiungere l'obiettivo.,Vous n'avez plus de formes avant d'atteindre l'objectif.,Skończyły ci się kształty przed osiągnięciem celu.,Du gikk tom for brikker før du nådde målet.,Você ficou sem formas antes de alcançar o objetivo.,Você ficou sem formas antes de alcançar o objetivo.,Te quedaste sin figuras antes de alcanzar el objetivo.,Te quedaste sin piezas antes de alcanzar el objetivo.,Фигуры закончились до достижения цели.,,目標に到達する前にブロックが尽きました。,목표에 도달하기 전에 블록이 떨어졌습니다.,在达成目标前方块已用完。,在達成目標前方塊已用完。
GameOver.Explain.CannotPlace,First Picks blocked rotation and nothing fits as drawn.,First Picks blockierte die Drehung und nichts passt so.,First Picks döndürmeyi kapattı ve hiçbir şekil geldiği haliyle sığmıyor.,First Picks ha bloccato la rotazione e nulla entra così.,First Picks a bloqué la rotation et rien ne rentre tel quel.,First Picks zablokował obrót i nic nie pasuje.,"First Picks sperret rotasjon, og ingenting passer slik.",First Picks bloqueou a rotação e nada cabe como está.,First Picks bloqueou a rotação e nada cabe como está.,First Picks bloqueó la rotación y nada cabe tal cual.,First Picks bloqueó la rotación y nada cabe tal cual.,"First Picks заблокировал вращение, и ничего не помещается.",,First Picks で回転が封じられ、そのままでは置けません。,First Picks가 회전을 막아 그대로는 놓을 수 없습니다.,First Picks 禁用了旋转，方块无法放入。,First Picks 禁用了旋轉，方塊無法放入。
GameOver.Explain.Default,Your run has ended.,Dein Lauf ist beendet.,Turun sona erdi.,La tua run è finita.,Votre partie est terminée.,Twoja rozgrywka dobiegła końca.,Runden din er over.,Sua jornada terminou.,Sua jornada terminou.,Tu partida ha terminado.,Tu partida ha terminado.,Ваш забег окончен.,,ランが終了しました。,이번 판이 끝났습니다.,本局结束了。,本局結束了。
Shape.Shape_Dot.Name,Dot,Punkt,Nokta,Punto,Point,Kropka,Prikk,Ponto,Ponto,Punto,Punto,Точка,,ドット,점,点,點
Shape.Shape_I3.Name,I3,I3,I3,I3,I3,I3,I3,I3,I3,I3,I3,I3,,I3,I3,I3,I3
Shape.Shape_I4.Name,I4,I4,I4,I4,I4,I4,I4,I4,I4,I4,I4,I4,,I4,I4,I4,I4
Shape.Shape_O.Name,O,O,O,O,O,O,O,O,O,O,O,O,,O,O,O,O
Shape.Shape_T.Name,T,T,T,T,T,T,T,T,T,T,T,T,,T,T,T,T
Shape.Shape_S.Name,S,S,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
Shape.Shape_Z.Name,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,,Z,Z,Z,Z
Shape.Shape_L.Name,L,L,L,L,L,L,L,L,L,L,L,L,,L,L,L,L
Shape.Shape_J.Name,J,J,J,J,J,J,J,J,J,J,J,J,,J,J,J,J
Shape.Shape_C.Name,C,C,C,C,C,C,C,C,C,C,C,C,,C,C,C,C
Shape.Shape_LongL.Name,Long L,Langes L,Uzun L,L lunga,L long,Długie L,Lang L,L longo,L longo,L larga,L larga,Длинная L,,ロングL,긴 L,长L,長L
Shape.Shape_Cross.Name,Cross,Kreuz,Artı,Croce,Croix,Krzyż,Kryss,Cruz,Cruz,Cruz,Cruz,Крест,,クロス,십자,十字,十字
Shape.Shape_4Gen.Name,4Gen,4Gen,4Gen,4Gen,4Gen,4Gen,4Gen,4Gen,4Gen,4Gen,4Gen,4Gen,,4Gen,4Gen,4Gen,4Gen
Shape.Shape_6Sq.Name,6Square,6-Quadrat,6Kare,6 quadrati,6 carrés,6 kwadratów,6-firkant,6 quadrados,6 quadrados,6 cuadros,6 cuadros,6 квадратов,,6スクエア,6칸 사각,6格方块,6格方塊
DemoEnd.Title,THANKS FOR PLAYING,DANKE FÜRS SPIELEN,OYNADIĞINIZ İÇİN TEŞEKKÜRLER,GRAZIE PER AVER GIOCATO,MERCI D'AVOIR JOUÉ,DZIĘKUJEMY ZA GRĘ,TAKK FOR AT DU SPILTE,OBRIGADO POR JOGAR,OBRIGADO POR JOGAR,GRACIAS POR JUGAR,GRACIAS POR JUGAR,СПАСИБО ЗА ИГРУ,,プレイしてくれてありがとう,플레이해 주셔서 감사합니다,感谢您的游玩,感謝您的遊玩
DemoEnd.Body,"You have reached the end of the demo. If you enjoyed it, adding the game to your wishlist helps a lot. Share your thoughts and suggestions with the feedback button.","Du hast das Ende der Demo erreicht. Wenn sie dir gefallen hat, hilft ein Eintrag auf deiner Wunschliste sehr. Teile deine Gedanken und Vorschläge über den Feedback-Knopf.","Demonun sonuna ulaştınız. Beğendiyseniz oyunu istek listenize ekleyerek destek olabilirsiniz. Yorum ve önerilerinizi öneri butonundan paylaşabilirsiniz.","Hai raggiunto la fine della demo. Se ti è piaciuta, aggiungerla alla lista dei desideri aiuta molto. Condividi opinioni e suggerimenti con il pulsante feedback.","Vous avez atteint la fin de la démo. Si elle vous a plu, l'ajouter à votre liste de souhaits aide beaucoup. Partagez vos avis et suggestions avec le bouton de retour.","Dotarłeś do końca dema. Jeśli ci się spodobało, dodanie gry do listy życzeń bardzo pomaga. Podziel się opiniami i sugestiami przyciskiem opinii.","Du har nådd slutten av demoen. Likte du den, hjelper det mye å legge spillet i ønskelisten. Del tanker og forslag med tilbakemeldingsknappen.","Chegaste ao fim da demo. Se gostaste, adicionar o jogo à tua lista de desejos ajuda muito. Partilha opiniões e sugestões no botão de feedback.","Você chegou ao fim da demo. Se gostou, adicionar o jogo à sua lista de desejos ajuda muito. Compartilhe opiniões e sugestões no botão de feedback.","Has llegado al final de la demo. Si te ha gustado, añadir el juego a tu lista de deseos ayuda mucho. Comparte opiniones y sugerencias con el botón de comentarios.","Llegaste al final de la demo. Si te gustó, agregar el juego a tu lista de deseos ayuda mucho. Comparte opiniones y sugerencias con el botón de comentarios.","Вы прошли демоверсию до конца. Если понравилось, добавление игры в список желаемого очень помогает. Поделитесь мыслями и предложениями через кнопку отзыва.",,デモはここまでです。気に入っていただけたら、ウィッシュリストへの追加がとても励みになります。ご意見やご提案はフィードバックボタンからお寄せください。,데모는 여기까지입니다. 마음에 드셨다면 위시리스트에 추가해 주시면 큰 힘이 됩니다. 의견과 제안은 피드백 버튼으로 보내 주세요.,试玩到此结束。如果您喜欢，把游戏加入愿望单会是很大的支持。欢迎通过反馈按钮分享您的意见和建议。,試玩到此結束。如果您喜歡，把遊戲加入願望清單會是很大的支持。歡迎透過意見回饋按鈕分享您的想法與建議。
DemoEnd.MainMenu,BACK TO MENU,ZURÜCK ZUM MENÜ,ANA SAYFAYA DÖN,TORNA AL MENU,RETOUR AU MENU,POWRÓT DO MENU,TILBAKE TIL MENYEN,VOLTAR AO MENU,VOLTAR AO MENU,VOLVER AL MENÚ,VOLVER AL MENÚ,В ГЛАВНОЕ МЕНЮ,,メニューに戻る,메뉴로 돌아가기,返回主菜单,返回主選單
DemoEnd.Wishlist,ADD TO WISHLIST,AUF WUNSCHLISTE,İSTEK LİSTESİNE EKLE,AGGIUNGI AI DESIDERI,AJOUTER AUX SOUHAITS,DODAJ DO LISTY ŻYCZEŃ,LEGG I ØNSKELISTEN,ADICIONAR À LISTA DE DESEJOS,ADICIONAR À LISTA DE DESEJOS,AÑADIR A DESEADOS,AGREGAR A DESEADOS,В СПИСОК ЖЕЛАЕМОГО,,ウィッシュリストに追加,위시리스트에 추가,加入愿望单,加入願望清單
DemoEnd.Feedback,SEND FEEDBACK,FEEDBACK SENDEN,ÖNERİ VER,INVIA FEEDBACK,DONNER SON AVIS,PRZEŚLIJ OPINIĘ,SEND TILBAKEMELDING,ENVIAR FEEDBACK,ENVIAR FEEDBACK,ENVIAR COMENTARIOS,ENVIAR COMENTARIOS,ОТПРАВИТЬ ОТЗЫВ,,フィードバックを送る,피드백 보내기,提交反馈,提交意見回饋
Pause.Feedback,SEND FEEDBACK,FEEDBACK SENDEN,ÖNERİ VER,INVIA FEEDBACK,DONNER SON AVIS,PRZEŚLIJ OPINIĘ,SEND TILBAKEMELDING,ENVIAR FEEDBACK,ENVIAR FEEDBACK,ENVIAR COMENTARIOS,ENVIAR COMENTARIOS,ОТПРАВИТЬ ОТЗЫВ,,フィードバックを送る,피드백 보내기,提交反馈,提交意見回饋
